"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"TP_SIGNAL_NAME";
"2";"1-1337543-0";"1-227161-7";"AMP_227161";"X1, X3";"JACK,  RIGHT ANGLE, 50 OHM, PCB, BNC";"TYCO ELECTRONICS";"1-227161-7";"unknown";"09H7855";"";"";
"3";"100n";"C-EUC0603";"C0603";"C1, C7, C25";"CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"100p";"C-EUC0603";"C0603";"C2, C8";"CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"10k";"R-EU_R0603";"R0603";"R14, R28";"RESISTOR, European symbol";"";"";"";"";"";"";
"5";"10n";"C-EUC0603";"C0603";"C6, C12, C13, C26, C27";"CAPACITOR, European symbol";"";"";"";"";"";"";
"6";"10u";"C-EUC1206";"C1206";"C5, C11, C20, C21, C22, C23";"CAPACITOR, European symbol";"";"";"";"";"";"";
"2";"190k";"R-EU_R0603";"R0603";"R12, R26";"RESISTOR, European symbol";"";"";"";"";"";"";
"9";"1u";"C-EUC0603";"C0603";"C14, C15, C16, C17, C18, C19, C24, C28, C29";"CAPACITOR, European symbol";"";"";"";"";"";"";
"4";"4148";"DIODE-MINIMELF";"MINIMELF";"D5, D6, D7, D8";"DIODE";"";"";"";"";"";"";
"8";"470";"R-EU_R0603";"R0603";"R3, R4, R5, R6, R17, R18, R19, R20";"RESISTOR, European symbol";"";"";"";"";"";"";
"4";"49R9";"R-EU_R0603";"R0603";"R1, R2, R15, R16";"RESISTOR, European symbol";"";"";"";"";"";"";
"8";"49R9";"R-EU_R1206";"R1206";"R7, R8, R9, R10, R21, R22, R23, R24";"RESISTOR, European symbol";"";"";"";"";"";"";
"10";"4k7";"R-EU_R0603";"R0603";"R29, R30, R31, R32, R33, R34, R36, R37, R38, R39";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"51";"R-EU_R0603";"R0603";"R35";"RESISTOR, European symbol";"";"";"";"";"";"";
"2";"60k";"R-EU_R0603";"R0603";"R13, R27";"RESISTOR, European symbol";"";"";"";"";"";"";
"2";"750k";"R-EU_R0603";"R0603";"R11, R25";"RESISTOR, European symbol";"";"";"";"";"";"";
"2";"AD8132";"AD8132";"MSOP8";"IC3, IC4";"";"";"";"";"";"";"";
"4";"BAV199";"BAV199";"SOT23";"D1, D2, D3, D4";"DIODE";"";"";"";"";"";"";
"4";"BC847";"BC847";"SOT23";"T1, T2, T3, T4";"NPN TRANSISTOR";"";"";"";"";"";"";
"4";"DNP";"C-EUC0603";"C0603";"C3, C4, C9, C10";"CAPACITOR, European symbol";"";"";"";"";"";"";
"1";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"X2";"0.5mm Pitch Connectors For FPC/FFC";"";"FH12-20S-0.5SH(55)";"1324549";"34M6166";"";"";
"4";"FTR-B4G";"FTR-B4G";"FTR-B4G";"K1, K2, K3, K4";"ULTRA MINIATURE RELAY 2 POLES - 2 A (Slim Profile Signal Relay)";"";"";"";"";"";"";
"2";"Ferrite";"L-EUL2012C";"L2012C";"L1, L2";"INDUCTOR, European symbol";"";"";"";"";"";"";
"1";"LT1819";"LM358D";"SO08";"IC2";"OP AMP also LM158; LM258; LM2904";"";"";"";"";"";"";
"2";"LTL-30EFJ";"DUOLED-RG-C";"DUOLED-C-5MM";"LD1, LD2";"DUO LED";"";"";"";"";"";"";
"1";"MAX19515";"MAX19515";"QFN50P700X700X75-49T550N";"IC5";"";"";"";"";"";"";"";
"1";"PCA9555BS";"PCA9555BS";"HVQFN24";"IC6";"16-bit I2C and SMBus I/O port with interrupt";"";"PCA9555BS,118";"1575354";"70R6671";"0";"";
"1";"TPS60403";"TPS60403";"SOT23-5";"IC1";"";"";"";"";"";"";"";
"3";"TPTP15R";"TPTP15R";"TP15R";"TP1, TP2, TP3";"Test pad";"";"";"";"";"";"";
